language,x,y,label
Danish,737441.0,0.000271615935534683,New Edits
Danish,737442.0,0.001869927816924433,New Edits
Danish,737443.0,0.009663434417033911,New Edits
Danish,737444.0,0.039006475904626414,New Edits
Danish,737445.0,0.12333163035572965,New Edits
Danish,737446.0,0.3059683967430095,New Edits
Danish,737447.0,0.5968270690461726,New Edits
Danish,737448.0,0.9180403646387699,New Edits
Danish,737449.0,1.1185256890749453,New Edits
Danish,737450.0,1.0887527257386505,New Edits
Danish,737451.0,0.8648577764281713,New Edits
Danish,737452.0,0.594865078561942,New Edits
Danish,737453.0,0.4072051275587234,New Edits
Danish,737454.0,0.3271721412342439,New Edits
Danish,737455.0,0.30037295012402976,New Edits
Danish,737456.0,0.2650924504274451,New Edits
Danish,737457.0,0.20021523943511166,New Edits
Danish,737458.0,0.1236181069672228,New Edits
Danish,737459.0,0.062326246151192186,New Edits
Danish,737460.0,0.029971534066976613,New Edits
Danish,737461.0,0.029600453808015337,New Edits
Danish,737462.0,0.06827940027088517,New Edits
Danish,737463.0,0.16251611921641407,New Edits
Danish,737464.0,0.3217463251862488,New Edits
Danish,737465.0,0.5172128670533069,New Edits
Danish,737466.0,0.67294713038619,New Edits
Danish,737467.0,0.7142435234292789,New Edits
Danish,737468.0,0.6449083047963906,New Edits
Danish,737469.0,0.5607025963338276,New Edits
Danish,737454.0,0.3271721412342439,Global Event
German,737440.0,0.0,New Edits
German,737441.0,4.015551024504489e-05,New Edits
German,737442.0,0.0003306848365554346,New Edits
German,737443.0,0.0018431837729918125,New Edits
German,737444.0,0.008111778548224258,New Edits
German,737445.0,0.02842317118227923,New Edits
German,737446.0,0.08071402718232432,New Edits
German,737447.0,0.18839169427230093,New Edits
German,737448.0,0.3675224563449065,New Edits
German,737449.0,0.6104206647118753,New Edits
German,737450.0,0.8788464867187272,New Edits
German,737451.0,1.1150780093533814,New Edits
German,737452.0,1.2687674871404813,New Edits
German,737453.0,1.325260992556971,New Edits
German,737454.0,1.3112130825208106,New Edits
German,737455.0,1.2691722188451489,New Edits
German,737456.0,1.2256252207657097,New Edits
German,737457.0,1.1801433307557148,New Edits
German,737458.0,1.118038908714093,New Edits
German,737459.0,1.0319262242507121,New Edits
German,737460.0,0.9325232193774154,New Edits
German,737461.0,0.837383321111568,New Edits
German,737462.0,0.7534758673230834,New Edits
German,737463.0,0.6788382909917907,New Edits
German,737464.0,0.6175179372191064,New Edits
German,737465.0,0.5805902263071829,New Edits
German,737466.0,0.5719294723778121,New Edits
German,737467.0,0.581479960204045,New Edits
German,737468.0,0.5944185196000433,New Edits
German,737469.0,0.6019391168915561,New Edits
German,737454.0,1.3112130825208106,Global Event
Hungarian,737440.0,6.857003753675731e-05,New Edits
Hungarian,737441.0,0.0006326752663626664,New Edits
Hungarian,737442.0,0.003718594934432742,New Edits
Hungarian,737443.0,0.016977536822776564,New Edits
Hungarian,737444.0,0.06204262666835252,New Edits
Hungarian,737445.0,0.18408114736546694,New Edits
Hungarian,737446.0,0.4482174585143398,New Edits
Hungarian,737447.0,0.9062899198309213,New Edits
Hungarian,737448.0,1.5420658295607295,New Edits
Hungarian,737449.0,2.241431470405572,New Edits
Hungarian,737450.0,2.8316439555663404,New Edits
Hungarian,737451.0,3.1762747109015406,New Edits
Hungarian,737452.0,3.252726580130078,New Edits
Hungarian,737453.0,3.145907910562002,New Edits
Hungarian,737454.0,2.966104732956895,New Edits
Hungarian,737455.0,2.7746462976128434,New Edits
Hungarian,737456.0,2.5850666362389783,New Edits
Hungarian,737457.0,2.4156939065471015,New Edits
Hungarian,737458.0,2.3139241485285935,New Edits
Hungarian,737459.0,2.318400546612572,New Edits
Hungarian,737460.0,2.404750824182199,New Edits
Hungarian,737461.0,2.486445518089731,New Edits
Hungarian,737462.0,2.4834397687792436,New Edits
Hungarian,737463.0,2.393972000024702,New Edits
Hungarian,737464.0,2.2951603978349215,New Edits
Hungarian,737465.0,2.267806250098852,New Edits
Hungarian,737466.0,2.316091797029168,New Edits
